source,target
Gl-229,Gl-223.2
Gl-229,Gl-205
Gl-229,Gl-234A
Gl-229,NN-3379
Gl-357,Gl-318
Gl-357,Gl-357
Gl-357,Gl-382
Gl-300,Gl-229
Gl-300,Gl-300
Gl-300,Gl-285
Gl-570A,Gl-588
Gl-570A,NN-3877
Gl-570A,Gl-663B
Gl-570A,Gl-663A
Gl-570A,Gl-570A
Gl-570A,Gl-570B
Gl-570A,Gl-628
Gl-570A,Gl-555
Gl-570A,Gl-581
Gl-570B,Gl-588
Gl-570B,NN-3877
Gl-570B,Gl-663B
Gl-570B,Gl-663A
Gl-570B,Gl-570A
Gl-570B,Gl-570B
Gl-570B,Gl-628
Gl-570B,Gl-555
Gl-570B,Gl-581
Gl-185A,Gl-216A
Gl-185A,Gl-216B
Gl-185A,Gl-229
Gl-185A,Gl-185A
Gl-185A,Gl-183
Gl-185A,Gl-223.2
Gl-185A,Gl-205
Gl-867B,Gl-879
Gl-867B,Gl-881
Gl-867B,Gl-884
Gl-867B,Gl-867B
Gl-867B,Gl-867A
Gl-867B,NN-4274
Gl-867B,Gl-831A
Gl-867B,GJ-1276
Gl-867B,Gl-849
Gl-867A,Gl-879
Gl-867A,Gl-881
Gl-867A,Gl-884
Gl-867A,Gl-867B
Gl-867A,Gl-867A
Gl-867A,NN-4274
Gl-867A,Gl-831A
Gl-867A,GJ-1276
Gl-867A,Gl-849
Gl-595,Gl-595
Gl-506,Gl-506
Gl-506,Gl-465
Gl-506,NN-3707
Gl-465,Gl-506
Gl-465,Gl-465
Gl-465,NN-3707
Gl-465,GJ-1154AB
Gl-65A,Sun
Gl-65A,Gl-845
Gl-65A,Gl-191
Gl-65A,GJ-1061
Gl-65A,Gl-1
Gl-65A,Gl-887
Gl-65A,Gl-65A
Gl-65A,Gl-54.1
Gl-65A,GJ-1005AB
Gl-65A,Gl-71
Gl-65A,Gl-866AB
Gl-65A,Gl-144
Gl-65A,GJ-1002
Gl-65A,Gl-35
Gl-65A,Gl-83.1
Gl-84,Gl-84
Gl-84,NN-3192A
Gl-84,Gl-117
NN-4274,Gl-879
NN-4274,Gl-881
NN-4274,Gl-884
NN-4274,Gl-867B
NN-4274,Gl-867A
NN-4274,NN-4274
NN-4274,Gl-876
NN-4274,Gl-831A
NN-4274,GJ-1276
NN-4274,Gl-849
NN-4274,GJ-1286
Gl-283B,Gl-283B
Gl-283B,Gl-283A
Gl-283B,Gl-250B
Gl-283B,Gl-250A
Gl-283B,GJ-1103A
Gl-283A,Gl-283B
Gl-283A,Gl-283A
Gl-283A,Gl-250B
Gl-283A,Gl-250A
Gl-283A,GJ-1103A
Gl-54.1,GJ-1061
Gl-54.1,Gl-1
Gl-54.1,Gl-887
Gl-54.1,Gl-65A
Gl-54.1,Gl-54.1
Gl-54.1,GJ-1005AB
Gl-54.1,Gl-71
Gl-54.1,Gl-866AB
Gl-54.1,Gl-876
Gl-54.1,Gl-144
Gl-54.1,GJ-1002
Gl-54.1,Gl-908
Gl-54.1,Gl-35
Gl-54.1,Gl-83.1
Gl-244B,Sun
Gl-244B,Gl-551
Gl-244B,Gl-559B
Gl-244B,Gl-559A
Gl-244B,Gl-191
Gl-244B,Gl-244B
Gl-244B,Gl-244A
Gl-244B,Gl-144
Gl-244B,Gl-234A
Gl-244B,Gl-280A
Gl-244B,Gl-273
Gl-244B,Gl-406
Gl-244B,NN-3522
Gl-244B,GJ-1111
Gl-244A,Sun
Gl-244A,Gl-551
Gl-244A,Gl-559B
Gl-244A,Gl-559A
Gl-244A,Gl-191
Gl-244A,Gl-244B
Gl-244A,Gl-244A
Gl-244A,Gl-144
Gl-244A,Gl-234A
Gl-244A,Gl-280A
Gl-244A,Gl-273
Gl-244A,Gl-406
Gl-244A,NN-3522
Gl-244A,GJ-1111
NN-3192A,Gl-84
NN-3192A,NN-3192A
NN-3192A,Gl-117
GJ-1005AB,Gl-1
GJ-1005AB,Gl-887
GJ-1005AB,Gl-881
GJ-1005AB,Gl-65A
GJ-1005AB,Gl-54.1
GJ-1005AB,GJ-1005AB
GJ-1005AB,Gl-71
GJ-1005AB,Gl-866AB
GJ-1005AB,Gl-876
GJ-1005AB,GJ-1002
GJ-1005AB,GJ-1286
GJ-1005AB,Gl-908
GJ-1005AB,Gl-35
GJ-1224,Gl-667C
GJ-1224,Gl-667A
GJ-1224,Gl-663B
GJ-1224,Gl-663A
GJ-1224,Gl-664
GJ-1224,GJ-1224
GJ-1224,Gl-644C
GJ-1224,Gl-644A
GJ-1224,Gl-643
GJ-1224,Gl-701
GJ-1224,Gl-673
Gl-71,GJ-1061
Gl-71,Gl-1
Gl-71,Gl-887
Gl-71,Gl-65A
Gl-71,Gl-54.1
Gl-71,GJ-1005AB
Gl-71,Gl-71
Gl-71,Gl-866AB
Gl-71,Gl-144
Gl-71,Gl-166C
Gl-71,Gl-166B
Gl-71,Gl-166A
Gl-71,GJ-1002
Gl-71,Gl-35
Gl-71,Gl-83.1
Gl-866AB,Gl-845
Gl-866AB,Gl-832
Gl-866AB,Gl-825
Gl-866AB,Gl-1
Gl-866AB,Gl-887
Gl-866AB,Gl-729
Gl-866AB,Gl-65A
Gl-866AB,Gl-54.1
Gl-866AB,GJ-1005AB
Gl-866AB,Gl-71
Gl-866AB,Gl-866AB
Gl-866AB,Gl-876
Gl-866AB,GJ-1002
Gl-866AB,Gl-908
Gl-866AB,Gl-35
NN-3707,Gl-506
NN-3707,Gl-465
NN-3707,NN-3707
NN-3707,GJ-1154AB
Gl-876,Gl-825
Gl-876,Gl-1
Gl-876,Gl-887
Gl-876,Gl-881
Gl-876,NN-4274
Gl-876,Gl-54.1
Gl-876,GJ-1005AB
Gl-876,Gl-866AB
Gl-876,Gl-876
Gl-876,GJ-1002
Gl-876,GJ-1286
Gl-876,Gl-908
Gl-876,Gl-35
Gl-117,Gl-84
Gl-117,NN-3192A
Gl-117,Gl-117
Gl-117,GJ-1057
Gl-117,Gl-105B
Gl-117,Gl-105A
Gl-628,Gl-674
Gl-628,Gl-682
Gl-628,Gl-663B
Gl-628,Gl-663A
Gl-628,Gl-664
Gl-628,Gl-729
Gl-628,Gl-570A
Gl-628,Gl-570B
Gl-628,Gl-628
Gl-628,Gl-644C
Gl-628,Gl-644A
Gl-628,Gl-643
Gl-628,Gl-581
Gl-628,Gl-702B
Gl-628,Gl-702A
Gl-628,Gl-699
Gl-555,NN-3877
Gl-555,Gl-570A
Gl-555,Gl-570B
Gl-555,Gl-555
Gl-555,Gl-581
NN-3622,NN-3622
NN-3622,Gl-447
NN-3622,Gl-402
NN-3622,Gl-406
NN-3622,NN-3522
NN-3622,Gl-473A
NN-3622,Gl-388
Gl-831A,Gl-867B
Gl-831A,Gl-867A
Gl-831A,NN-4274
Gl-831A,Gl-831A
Gl-831A,GJ-1276
Gl-831A,Gl-849
Gl-144,Gl-191
Gl-144,GJ-1061
Gl-144,Gl-65A
Gl-144,Gl-54.1
Gl-144,Gl-244B
Gl-144,Gl-244A
Gl-144,Gl-71
Gl-144,Gl-144
Gl-144,Gl-166C
Gl-144,Gl-166B
Gl-144,Gl-166A
Gl-144,Gl-234A
Gl-144,Gl-35
Gl-144,Gl-83.1
Gl-644C,Gl-663B
Gl-644C,Gl-663A
Gl-644C,Gl-664
Gl-644C,GJ-1224
Gl-644C,Gl-628
Gl-644C,Gl-644C
Gl-644C,Gl-644A
Gl-644C,Gl-643
Gl-644C,Gl-581
Gl-644C,Gl-701
Gl-644C,Gl-673
Gl-644C,Gl-702B
Gl-644C,Gl-702A
Gl-644A,Gl-663B
Gl-644A,Gl-663A
Gl-644A,Gl-664
Gl-644A,GJ-1224
Gl-644A,Gl-628
Gl-644A,Gl-644C
Gl-644A,Gl-644A
Gl-644A,Gl-643
Gl-644A,Gl-581
Gl-644A,Gl-701
Gl-644A,Gl-673
Gl-644A,Gl-702B
Gl-644A,Gl-702A
Gl-643,Gl-663B
Gl-643,Gl-663A
Gl-643,Gl-664
Gl-643,GJ-1224
Gl-643,Gl-628
Gl-643,Gl-644C
Gl-643,Gl-644A
Gl-643,Gl-643
Gl-643,Gl-581
Gl-643,Gl-701
Gl-643,Gl-673
Gl-643,Gl-702B
Gl-643,Gl-702A
Gl-581,NN-3877
Gl-581,Gl-570A
Gl-581,Gl-570B
Gl-581,Gl-628
Gl-581,Gl-555
Gl-581,Gl-644C
Gl-581,Gl-644A
Gl-581,Gl-643
Gl-581,Gl-581
Gl-166C,Gl-191
Gl-166C,GJ-1061
Gl-166C,Gl-229
Gl-166C,Gl-71
Gl-166C,Gl-144
Gl-166C,Gl-166C
Gl-166C,Gl-166B
Gl-166C,Gl-166A
Gl-166C,Gl-223.2
Gl-166C,Gl-205
Gl-166C,Gl-234A
Gl-166C,NN-3379
Gl-166C,Gl-213
Gl-166B,Gl-191
Gl-166B,GJ-1061
Gl-166B,Gl-229
Gl-166B,Gl-71
Gl-166B,Gl-144
Gl-166B,Gl-166C
Gl-166B,Gl-166B
Gl-166B,Gl-166A
Gl-166B,Gl-223.2
Gl-166B,Gl-205
Gl-166B,Gl-234A
Gl-166B,NN-3379
Gl-166B,Gl-213
Gl-166A,Gl-191
Gl-166A,GJ-1061
Gl-166A,Gl-229
Gl-166A,Gl-71
Gl-166A,Gl-144
Gl-166A,Gl-166C
Gl-166A,Gl-166B
Gl-166A,Gl-166A
Gl-166A,Gl-223.2
Gl-166A,Gl-205
Gl-166A,Gl-234A
Gl-166A,NN-3379
Gl-166A,Gl-213
GJ-1002,Gl-1
GJ-1002,Gl-887
GJ-1002,Gl-65A
GJ-1002,Gl-54.1
GJ-1002,GJ-1005AB
GJ-1002,Gl-71
GJ-1002,Gl-866AB
GJ-1002,Gl-876
GJ-1002,GJ-1002
GJ-1002,GJ-1286
GJ-1002,Gl-908
GJ-1002,Gl-35
GJ-1002,Gl-83.1
GJ-1276,Gl-884
GJ-1276,Gl-867B
GJ-1276,Gl-867A
GJ-1276,NN-4274
GJ-1276,Gl-831A
GJ-1276,GJ-1276
GJ-1276,Gl-849
GJ-1276,GJ-1286
Gl-183,Gl-185A
Gl-183,Gl-183
Gl-183,GJ-1087
Gl-183,Gl-178
Gl-183,NN-3322
Gl-250B,Gl-283B
Gl-250B,Gl-283A
Gl-250B,Gl-250B
Gl-250B,Gl-250A
Gl-250B,GJ-1103A
Gl-250B,GJ-1087
Gl-250A,Gl-283B
Gl-250A,Gl-283A
Gl-250A,Gl-250B
Gl-250A,Gl-250A
Gl-250A,GJ-1103A
Gl-250A,GJ-1087
Gl-849,Gl-867B
Gl-849,Gl-867A
Gl-849,NN-4274
Gl-849,Gl-831A
Gl-849,GJ-1276
Gl-849,Gl-849
Gl-223.2,Gl-216A
Gl-223.2,Gl-216B
Gl-223.2,Gl-229
Gl-223.2,Gl-185A
Gl-223.2,Gl-166C
Gl-223.2,Gl-166B
Gl-223.2,Gl-166A
Gl-223.2,Gl-223.2
Gl-223.2,Gl-205
Gl-223.2,Gl-234A
Gl-223.2,NN-3379
Gl-223.2,GJ-1087
Gl-223.2,Gl-178
Gl-223.2,NN-3322
Gl-223.2,Gl-213
Gl-382,Gl-357
Gl-382,Gl-382
Gl-382,Gl-381
Gl-382,Gl-393
Gl-382,Gl-402
Gl-205,Gl-229
Gl-205,Gl-185A
Gl-205,Gl-166C
Gl-205,Gl-166B
Gl-205,Gl-166A
Gl-205,Gl-223.2
Gl-205,Gl-205
Gl-205,Gl-234A
Gl-205,NN-3379
Gl-205,GJ-1087
Gl-205,Gl-178
Gl-205,NN-3322
Gl-205,Gl-213
Gl-701,GJ-1224
Gl-701,Gl-644C
Gl-701,Gl-644A
Gl-701,Gl-643
Gl-701,Gl-701
Gl-701,Gl-673
Gl-701,Gl-702B
Gl-701,Gl-702A
Gl-234A,Gl-229
Gl-234A,Gl-244B
Gl-234A,Gl-244A
Gl-234A,Gl-144
Gl-234A,Gl-166C
Gl-234A,Gl-166B
Gl-234A,Gl-166A
Gl-234A,Gl-223.2
Gl-234A,Gl-205
Gl-234A,Gl-234A
Gl-234A,NN-3379
Gl-234A,Gl-285
Gl-234A,Gl-280A
Gl-234A,Gl-273
Gl-234A,NN-3522
Gl-234A,Gl-213
Gl-234A,GJ-1111
Gl-381,Gl-382
Gl-381,Gl-381
Gl-381,Gl-393
Gl-381,Gl-402
GJ-1286,Gl-884
GJ-1286,NN-4274
GJ-1286,GJ-1005AB
GJ-1286,Gl-876
GJ-1286,GJ-1002
GJ-1286,GJ-1276
GJ-1286,GJ-1286
GJ-1286,Gl-908
GJ-1286,Gl-33
GJ-1286,Gl-880
GJ-1286,Gl-896B
GJ-1286,Gl-896A
GJ-1103A,Gl-283B
GJ-1103A,Gl-283A
GJ-1103A,Gl-250B
GJ-1103A,Gl-250A
GJ-1103A,GJ-1103A
GJ-1103A,GJ-2066
GJ-1103A,Gl-285
GJ-1103A,Gl-299
GJ-1154AB,Gl-465
GJ-1154AB,NN-3707
GJ-1154AB,GJ-1154AB
GJ-1154AB,Gl-518
GJ-1154AB,Gl-493.1
GJ-1154AB,Gl-486
GJ-1154AB,NN-3716
GJ-1154AB,GJ-1156
Gl-447,NN-3622
Gl-447,Gl-447
Gl-447,Gl-406
Gl-447,NN-3522
Gl-447,Gl-473A
Gl-447,Gl-388
Gl-447,Gl-411
Gl-393,Gl-382
Gl-393,Gl-381
Gl-393,Gl-393
Gl-393,Gl-402
Gl-393,Gl-408
GJ-2066,GJ-1103A
GJ-2066,GJ-2066
GJ-2066,Gl-285
GJ-2066,Gl-299
Gl-673,GJ-1224
Gl-673,Gl-644C
Gl-673,Gl-644A
Gl-673,Gl-643
Gl-673,Gl-701
Gl-673,Gl-673
Gl-673,Gl-702B
Gl-673,Gl-702A
Gl-673,Gl-686
Gl-908,Gl-54.1
Gl-908,GJ-1005AB
Gl-908,Gl-866AB
Gl-908,Gl-876
Gl-908,GJ-1002
Gl-908,GJ-1286
Gl-908,Gl-908
Gl-908,Gl-33
Gl-908,Gl-35
Gl-908,Gl-880
