source,target
Gl-51,Gl-51
Gl-51,Gl-48
Gl-793,GJ-1227
Gl-793,Gl-809
Gl-793,Gl-793
Gl-793,NN-4053
Gl-793,Gl-764
Gl-793,GJ-1221
Gl-793,Gl-713AB
Gl-424,GJ-1151
Gl-424,Gl-424
Gl-424,Gl-487
Gl-487,GJ-1151
Gl-487,Gl-424
Gl-487,Gl-487
NN-4053,Gl-661A
NN-4053,Gl-623
NN-4053,Gl-625
NN-4053,GJ-1227
NN-4053,Gl-809
NN-4053,Gl-793
NN-4053,NN-4053
NN-4053,Gl-687
NN-4053,Gl-764
NN-4053,GJ-1221
NN-4053,Gl-713AB
Gl-687,GJ-1245A
Gl-687,GJ-1245B
Gl-687,Gl-661A
Gl-687,Gl-625
Gl-687,Gl-860B
Gl-687,Gl-860A
Gl-687,Gl-725B
Gl-687,Gl-725A
Gl-687,NN-4053
Gl-687,Gl-687
Gl-687,Gl-764
Gl-687,GJ-1221
Gl-687,Gl-713AB
Gl-687,Gl-445
Gl-764,GJ-1245A
Gl-764,GJ-1245B
Gl-764,Gl-625
Gl-764,Gl-860B
Gl-764,Gl-860A
Gl-764,Gl-725B
Gl-764,Gl-725A
Gl-764,GJ-1227
Gl-764,Gl-809
Gl-764,Gl-793
Gl-764,NN-4053
Gl-764,Gl-687
Gl-764,Gl-764
Gl-764,GJ-1221
Gl-764,Gl-713AB
Gl-764,Gl-445
GJ-1221,Gl-661A
GJ-1221,Gl-625
GJ-1221,Gl-725B
GJ-1221,Gl-725A
GJ-1221,GJ-1227
GJ-1221,Gl-809
GJ-1221,Gl-793
GJ-1221,NN-4053
GJ-1221,Gl-687
GJ-1221,Gl-764
GJ-1221,GJ-1221
GJ-1221,Gl-713AB
GJ-1221,Gl-445
Gl-48,Gl-53A
Gl-48,Gl-892
Gl-48,Gl-49
Gl-48,Gl-51
Gl-48,Gl-48
Gl-713AB,Gl-625
Gl-713AB,GJ-1227
Gl-713AB,Gl-809
Gl-713AB,Gl-793
Gl-713AB,NN-4053
Gl-713AB,Gl-687
Gl-713AB,Gl-764
Gl-713AB,GJ-1221
Gl-713AB,Gl-713AB
Gl-445,Gl-380
Gl-445,Gl-338A
Gl-445,Gl-338B
Gl-445,Gl-687
Gl-445,Gl-764
Gl-445,GJ-1221
Gl-445,Gl-445
