distance,source,target
9.79798403397352,GJ-1061,Gl-166C
9.79798403397352,GJ-1061,Gl-166B
9.797977103463756,GJ-1061,Gl-166A
9.298133283622041,Gl-682,Gl-780
5.847821486673477,Gl-682,Gl-693
0.9691913846088391,Gl-682,Gl-674
9.410229916957396,Gl-682,Gl-666B
9.410229916957396,Gl-682,Gl-666A
6.236292708011708,Gl-682,Gl-754
9.475532111707501,Gl-682,Gl-784
0.0,Gl-682,Gl-682
8.19109841291142,Gl-682,Gl-588
9.28966555964207,Gl-682,Gl-783A
8.540585852270322,Gl-682,Gl-667C
8.541264141800088,Gl-682,Gl-667A
5.554869251386571,Gl-682,Gl-663B
5.5553772509164485,Gl-682,Gl-663A
5.841403572772557,Gl-682,Gl-664
7.905031199811927,Gl-682,Gl-729
8.809270592392993,Gl-682,Gl-628
0.0,Gl-257A,Gl-257A
9.481086105505002,Gl-915,Gl-17
9.037810416798973,Gl-915,Gl-66B
9.037810416798973,Gl-915,Gl-66A
0.0,Gl-915,Gl-915
7.703937814520572,Gl-915,Gl-879
8.645113871430498,Gl-915,Gl-881
7.71716600961778,Gl-139,Gl-66B
7.71716600961778,Gl-139,Gl-66A
7.791183291387772,Gl-139,GJ-2034
9.601625883671995,Gl-139,Gl-191
6.509313753384454,Gl-139,GJ-1061
0.0,Gl-139,Gl-139
9.117799921581959,Gl-588,Gl-693
8.056915509672422,Gl-588,Gl-674
9.091817471770977,Gl-588,Gl-666B
9.091817471770977,Gl-588,Gl-666A
8.19109841291142,Gl-588,Gl-682
0.0,Gl-588,Gl-588
6.584192218488156,Gl-588,Gl-618B
6.584192218488156,Gl-588,Gl-618A
8.846412630552566,Gl-588,Gl-667C
8.846049631897843,Gl-588,Gl-667A
5.245159473266757,Gl-588,NN-3877
8.598771957087827,Gl-588,Gl-663B
8.599064007785966,Gl-588,Gl-663A
8.64822086847925,Gl-588,Gl-664
7.148515421400447,Gl-588,Gl-570A
7.149960035552648,Gl-588,Gl-570B
9.748945881478672,Gl-825,Gl-780
4.233276860778184,Gl-825,Gl-845
3.606557522070041,Gl-825,Gl-832
8.4271736626226,Gl-825,Gl-754
8.167947279457673,Gl-825,Gl-784
0.0,Gl-825,Gl-825
7.949861332752918,Gl-825,Gl-1
6.811026231780347,Gl-825,Gl-783A
4.644155360235056,Gl-825,Gl-887
7.211556682852879,Gl-825,Gl-729
6.206600024167821,Gl-825,Gl-866AB
8.281447345724056,Gl-825,Gl-876
6.907295349121824,NN-3737,Gl-479
8.320060954704596,NN-3737,Gl-438
0.0,NN-3737,NN-3737
6.154645922390662,Gl-618B,Gl-666B
6.154645922390662,Gl-618B,Gl-666A
6.584192218488156,Gl-618B,Gl-588
0.0,Gl-618B,Gl-618B
0.0,Gl-618B,Gl-618A
5.4041805206710105,Gl-618B,Gl-667C
5.40348003975216,Gl-618B,Gl-667A
9.14028331563087,Gl-618B,NN-3877
9.650665248572246,Gl-618B,Gl-663B
9.650882027048098,Gl-618B,Gl-663A
9.326679976283096,Gl-618B,Gl-664
6.154645922390662,Gl-618A,Gl-666B
6.154645922390662,Gl-618A,Gl-666A
6.584192218488156,Gl-618A,Gl-588
0.0,Gl-618A,Gl-618B
0.0,Gl-618A,Gl-618A
5.4041805206710105,Gl-618A,Gl-667C
