#Name,x-pos,y-pos,z-pos,dist,bright,temp
Gl-615,39.2307,-24.9734,3.8171,46.6614,0.1738,5191.8465
Gl-189,-2.4765,-35.7304,26.7115,44.6799,2.3550,6299.5513
Gl-693,17.3416,-7.9655,4.9208,19.7078,0.0016,3581.0028
Gl-855,32.9008,-16.3862,44.1185,57.4231,0.0137,3793.5065
Gl-429.4,24.4860,-60.2887,-4.5833,65.2327,0.1629,4603.1486
NN-4082,62.4270,-23.9670,27.9627,72.4807,0.0060,3839.1950
NN-3009,15.8224,-16.2056,37.8118,44.0761,0.0024,3734.3173
Wo-9716,36.4919,-13.4497,32.9344,50.9630,0.0015,3581.0028
Gl-845,6.9145,-3.0387,8.3915,11.2898,0.1393,4603.1486
Gl-613,36.6090,-22.9999,2.6439,43.3152,0.2208,5134.3712
Gl-66B,3.7115,-10.4221,18.9057,21.9049,0.1722,5280.6719
Gl-66A,3.7115,-10.4221,18.9057,21.9049,0.1888,5106.1369
NN-3592,7.7648,-35.3981,-0.2094,36.2404,0.0001,5670.9835
GJ-1158,24.8080,-43.2168,-5.8992,50.1790,0.0010,3621.5071
Gl-737A,38.6722,-13.8085,17.4534,44.6188,0.0270,3917.9429
Gl-747.4,51.7476,-17.8098,25.5584,60.4006,0.0090,3870.2956
GJ-2036A,-2.6836,-26.7140,21.3989,34.3330,0.0035,3691.1685
GJ-2036B,-2.6836,-26.7140,21.3989,34.3330,0.0014,3649.0419
NN-4191,50.2279,-17.7553,49.1464,72.4807,0.0012,7725.9297
Gl-253,-3.6829,-43.4342,17.2047,46.8625,0.0973,5341.7087
GJ-1247,60.5319,-18.4529,38.6051,74.1280,0.1629,4558.5202
Gl-321.3A,2.3542,-64.9107,8.4028,65.4946,93.7562,9652.2031
Gl-534.1A,25.0554,-27.5132,-4.5554,37.4900,0.4571,5341.7087
GJ-1267,24.9913,-10.4859,34.0107,43.4884,0.0366,4034.0241
Gl-683,53.3841,-22.3970,12.3504,59.1948,3.3729,8163.0066
NN-4012,61.3117,-25.7207,14.0222,67.9507,0.0002,6576.0503
NN-3210,-0.3944,-21.7338,28.4981,35.8421,0.0001,6299.5513
Gl-524,29.2271,-33.8743,-6.2517,45.1750,0.0017,3734.3173
Gl-552.1,39.0815,-36.0645,-5.5641,53.4694,0.0052,3778.5271
Gl-93,3.3338,-22.8241,38.1228,44.5578,0.0044,3934.0981
NN-3082,11.2315,-23.5831,50.9117,57.2216,0.0098,3823.8388
NN-3109,8.4609,-27.8502,54.2216,61.5403,2.1086,6255.8849
Gl-397.2,14.4053,-62.1765,-4.0787,63.9536,4.1687,6388.8889
NN-4106,33.5819,-9.8930,16.7951,38.8290,0.0058,3677.0146
Gl-200.1,-9.0661,-58.6502,41.8909,72.6422,0.0023,4388.7408
Gl-853A,23.0657,-8.8410,30.9293,39.5829,0.9204,5967.5435
GJ-1068,-3.5177,-28.5670,28.8752,40.7704,0.0005,3243.6995
Gl-163,-4.4291,-35.0495,35.7437,50.2563,0.0039,3793.5065
Gl-167,-4.1090,-30.5567,30.1786,43.1433,0.1343,4450.8295
Gl-114.1A,0.6528,-41.1096,60.8767,73.4602,0.0227,3778.5271
Gl-298,-1.8942,-47.1091,8.8205,47.9652,0.0037,3793.5065
Gl-798,30.4418,-7.7334,24.4053,39.7760,0.0384,4103.6395
Gl-13,15.1222,-15.2313,43.3720,48.3922,0.3532,5815.2137
Gl-368.1A,9.0758,-71.9017,-1.1108,72.4807,0.2884,4996.4158
Gl-496.1,37.3595,-53.2826,-11.9259,66.1589,0.0855,4000.1321
Gl-22.2,17.9897,-22.2337,60.1065,66.5639,2.5586,6576.0503
Gl-479,13.5550,-22.7185,-5.0537,26.9334,0.0032,3734.3173
NN-4158,52.7625,-12.4812,42.6065,68.9563,8.3946,7658.0096
Gl-43,11.5597,-18.8858,48.0963,52.9486,0.0026,3778.5271
Gl-438,10.2741,-24.9929,-4.5863,27.4087,0.0044,3748.9340
Gl-691,29.1712,-10.5814,6.3114,31.6663,0.7244,5601.6978
NN-4145,46.6830,-10.8215,33.1043,58.2435,0.0231,3934.0981
Gl-429.3,21.8398,-59.1027,-10.1961,63.8284,0.4571,6827.4357
Gl-676A,36.0748,-13.7694,6.4917,39.1553,0.0185,3854.6801
Gl-676B,36.0758,-13.7637,6.4985,39.1553,0.0006,3778.5271
Gl-81A,5.1594,-26.8367,52.8740,59.5189,9.6383,5134.3712
Gl-167.1,-9.1987,-51.3204,51.7494,73.4602,11.8032,7461.8638
Gl-275,-6.6274,-55.1958,15.5571,57.7280,0.5495,5601.6978
Gl-219,-9.4673,-45.9766,27.7739,54.5424,10.7647,8402.6953
Wo-9735,51.8590,-12.0689,51.3328,73.9599,0.0240,5250.7064
Gl-841A,29.9303,-8.1125,36.2242,47.6847,0.0126,3793.5065
Gl-841B,29.9303,-8.1125,36.2242,47.6847,0.0004,8486.0845
Gl-52.1,12.8381,-25.1866,63.3773,69.3965,0.1138,4891.5725
Gl-531,36.2018,-39.2552,-10.1748,54.3606,0.2704,4996.4158
NN-3032,16.9123,-17.6735,54.0222,59.3024,0.0051,3823.8388
Gl-833,28.5278,-6.8915,30.8502,42.5801,0.2070,5050.6447
Gl-86,1.7882,-17.0498,32.2049,36.4836,0.3873,5221.1002
Gl-108,-0.5164,-25.0697,40.6415,47.7545,1.3677,6128.7113
Gl-725.3,55.0449,-14.3563,20.9612,60.6252,0.1000,5778.4237
NN-4249,42.6204,-11.5411,53.5366,69.3965,0.0058,3691.1685
Gl-291.1,-7.3466,-68.1161,14.3221,69.9921,0.0380,4269.8553
Gl-724.1,56.5842,-14.4715,20.4755,61.8906,0.0586,5670.9835
NN-3059,14.8316,-22.0466,62.5401,67.9507,0.0189,3901.9253
Gl-176.3,-11.2161,-48.5257,42.3300,65.3634,0.3221,5023.3752
NN-3005,22.3740,-18.2029,63.1184,69.3965,0.0065,3793.5065
Gl-773.6,53.4352,-10.5612,33.5143,63.9536,0.1148,4471.9379
Gl-240,-8.2862,-42.3843,18.0196,46.7953,0.0254,3854.6801
Gl-375.1,8.6205,-72.2853,-4.9738,72.9672,0.0095,4969.7612
Gl-140.1B,-6.4331,-43.9673,59.3335,74.1280,0.0334,3966.8287
Gl-140.1A,-6.4367,-43.9686,59.3321,74.1280,0.1837,4450.8295
Wo-9691,60.5598,-11.6249,42.6543,74.9801,1.5417,6170.4797
GJ-2095,26.9744,-45.1751,-12.1512,54.0006,0.0009,8321.0918
NN-4310,30.2445,-12.1410,55.0266,63.9536,0.0185,3934.0981
Gl-629.3,57.6268,-25.9338,1.4458,63.2100,0.0038,3823.8388
Gl-4.2A,21.2033,-16.8016,61.8728,67.5286,2.1478,6299.5513
Gl-832,10.2850,-1.9640,10.9773,15.1704,0.0064,3839.1950
Gl-570.1,41.7251,-30.9854,-8.1496,52.6070,0.6546,5567.7287
Gl-680,37.4580,-12.1196,6.0011,39.8246,0.0113,3705.4360
GJ-2034,-4.6671,-18.3234,18.5914,26.5173,0.0001,6299.5513
